Economy Name,Economy Code,Status BIPM,RMO,ISO Membership,IEC Membership,GQII Scores,GQII Rank,CMC Coverage,CIPM - Cons. Committees,Key Comparisons,Supplementary Comparisons,Count Calibration,ISO - TC Observing,ISO - TC Participating,IEC Observing Member,IEC Participating Member,ISO MS Certificates,CAB Coverage*,Count Product Certification,Count Management System Certification,Count Testing
Paraguay,PRY,Associate of the CGPM,SIM,Correspondent member,Affiliate,0.4458,104,11%,,2,19,9,1,,,,500,29%,5,0,29
Peru,PER,Associate of the CGPM,SIM,Member body,Full Member,0.6905,56,67%,,30,35,52,30,41,0,3,"3,416",47%,12,8,138
Philippines,PHL,Associate of the CGPM,APMP,Member body,Full Member,0.5978,68,22%,,13,9,2,109,61,28,11,"5,121",0%,0,1,3
Poland,POL,Member State,EURAMET,Member body,Full Member,0.9265,11,100%,45%,179,50,147,427,217,128,55,"15,674",94%,91,39,"1,284"
Portugal,PRT,Member State,EURAMET,Member body,Full Member,0.8405,32,89%,35%,94,31,67,223,243,76,58,"6,308",71%,46,8,497
Qatar,QAT,Associate of the CGPM,GULFMET,Member body,Full Member,0.5577,72,0%,,3,2,2,19,19,2,2,"1,925",6%,0,0,11
Romania,ROU,Member State,EURAMET,Member body,Full Member,0.8687,24,100%,10%,107,42,31,578,112,137,32,"18,879",82%,51,26,320
Russian Federation,RUS,Member State,COOMET,Member body,Full Member,0.8426,31,100%,100%,375,137,8,112,582,57,128,"6,408",47%,509,114,418
Rwanda,RWA,,,Member body,Affiliate,0.3440,131,0%,,,,1,12,28,,,27,0%,,1,2
Saint Kitts and Nevis,KNA,Associate of the CGPM,CARICOM,Correspondent member,Affiliate,0.2214,163,0%,,,,,2,3,,,1,,,,
Saint Lucia,LCA,Associate of the CGPM,CARICOM,Member body,Affiliate,0.3332,133,0%,,,,1,8,10,,,7,0%,,,1
Saint Vincent and the Grenadines,VCT,Associate of the CGPM,CARICOM,Subscriber member,Affiliate,0.2109,167,0%,,,,,,5,,,1,,,,
Samoa,WSM,,,,,0.1901,172,0%,,,,,,,,,,0%,,,1
"Saudi Arabia, Kingdom of",SAU,Member State,GULFMET,Member body,Full Member,0.6746,57,22%,0%,19,29,25,150,172,25,16,"3,317",35%,12,0,183
